,Posemo,Negemo,Work,Date,Status_id,length_messages
112,9.0,2.0,12.0,2016-05-15 23:21:03,261858613983318_583731135129396,208
113,,1.0,,2016-05-15 23:18:03,261858613983318_583730698462773,3
114,,1.0,,2016-05-15 23:17:53,261858613983318_583730651796111,12
115,,,1.0,2016-04-16 14:13:01,261858613983318_571722172996959,16
116,8.0,3.0,,2016-04-16 14:12:46,261858613983318_571722069663636,108
117,,,2.0,2016-04-16 14:12:26,261858613983318_571721912996985,28
118,2.0,1.0,1.0,2016-04-16 14:10:17,261858613983318_571721416330368,57
119,1.0,3.0,2.0,2016-04-16 14:10:06,261858613983318_571721389663704,49
120,2.0,2.0,2.0,2016-04-16 14:09:57,261858613983318_571721326330377,31
121,2.0,2.0,1.0,2016-04-16 14:09:48,261858613983318_571721289663714,65
122,8.0,1.0,22.0,2016-04-16 14:09:37,261858613983318_571721246330385,281
123,,2.0,,2016-04-16 14:09:24,261858613983318_571721202997056,30
124,8.0,4.0,3.0,2016-04-16 14:09:14,261858613983318_571721079663735,173
125,4.0,5.0,,2016-04-16 14:08:51,261858613983318_571720972997079,70
126,6.0,2.0,10.0,2016-04-16 14:08:41,261858613983318_571720896330420,146
127,7.0,7.0,,2016-04-16 14:08:26,261858613983318_571720839663759,154
128,3.0,,,2016-04-16 14:08:15,261858613983318_571720772997099,41
129,1.0,,,2016-04-16 14:07:57,261858613983318_571720682997108,12
130,5.0,1.0,,2016-04-16 14:07:47,261858613983318_571720626330447,51
131,6.0,7.0,1.0,2016-04-16 14:07:37,261858613983318_571720542997122,145
132,2.0,3.0,,2016-04-16 14:07:26,261858613983318_571720479663795,34
133,,,1.0,2016-04-16 14:07:12,261858613983318_571720449663798,22
134,10.0,4.0,,2016-04-16 14:06:51,261858613983318_571720316330478,136
135,,2.0,,2016-04-11 12:22:50,261858613983318_569499236552586,13
136,9.0,1.0,4.0,2016-04-11 12:22:36,261858613983318_569499156552594,236
137,1.0,2.0,,2016-04-11 12:22:00,261858613983318_569498963219280,35
138,1.0,,,2016-04-11 12:21:46,261858613983318_569498879885955,15
139,,1.0,1.0,2016-04-11 12:21:37,261858613983318_569498846552625,20
140,6.0,6.0,1.0,2016-04-11 12:21:28,261858613983318_569498829885960,94
141,6.0,2.0,10.0,2016-04-11 12:21:04,261858613983318_569498749885968,96
142,20.0,6.0,15.0,2016-04-11 12:20:50,261858613983318_569498709885972,336
143,3.0,,4.0,2016-04-11 12:20:28,261858613983318_569498669885976,25
144,5.0,,,2016-04-11 12:19:56,261858613983318_569498606552649,50
145,2.0,3.0,1.0,2016-04-11 12:19:46,261858613983318_569498579885985,66
146,3.0,,,2016-04-11 12:19:36,261858613983318_569498516552658,24
147,,,1.0,2016-04-11 12:19:26,261858613983318_569498449885998,25
148,1.0,,,2016-04-11 12:19:11,261858613983318_569498373219339,13
149,,,,2016-04-11 12:19:02,261858613983318_569498333219343,5
150,2.0,2.0,,2016-04-11 12:18:51,261858613983318_569498289886014,27
151,10.0,,1.0,2016-04-11 12:18:23,261858613983318_569498179886025,146
152,,2.0,,2016-04-11 12:18:06,261858613983318_569498096552700,12
153,1.0,2.0,3.0,2016-04-11 12:17:30,261858613983318_569497683219408,31
154,,,,2016-04-11 12:16:22,261858613983318_569496749886168,6
155,19.0,7.0,38.0,2016-04-06 00:55:52,261858613983318_567281430107700,491
156,1.0,3.0,,2016-04-06 00:54:02,261858613983318_567281160107727,71
157,,,,2016-04-06 00:52:27,261858613983318_567280650107778,14
158,2.0,,,2016-04-06 00:51:53,261858613983318_567280146774495,28
159,3.0,2.0,,2016-04-06 00:50:47,261858613983318_567279966774513,37
160,6.0,9.0,3.0,2016-04-06 00:50:37,261858613983318_567279890107854,155
161,2.0,,1.0,2016-04-06 00:48:46,261858613983318_567279653441211,57
162,3.0,3.0,4.0,2016-04-06 00:48:27,261858613983318_567279616774548,79
163,8.0,1.0,,2016-04-06 00:47:43,261858613983318_567279480107895,64
164,7.0,7.0,,2016-04-06 00:45:57,261858613983318_567279283441248,97
165,,3.0,2.0,2016-04-06 00:45:30,261858613983318_567279216774588,50
166,5.0,,2.0,2016-04-02 12:57:57,261858613983318_565798626922647,53
167,18.0,10.0,8.0,2016-04-02 12:57:08,261858613983318_565798490255994,478
168,,2.0,,2016-04-02 12:56:45,261858613983318_565798413589335,14
