,Posemo,Negemo,Work,Date,Status_id,length_messages
180,10.0,,,2013-11-23 23:27:36,496760523694278_615595661810763,116
181,1.0,1.0,,2013-11-23 23:27:25,496760523694278_615595641810765,49
182,7.0,6.0,4.0,2013-11-23 23:27:18,496760523694278_615595591810770,191
183,2.0,1.0,1.0,2013-11-23 23:26:28,496760523694278_615595411810788,63
184,,2.0,,2013-11-23 23:26:21,496760523694278_615595348477461,23
185,2.0,1.0,,2013-11-23 23:26:11,496760523694278_615595308477465,46
186,,5.0,1.0,2013-11-23 23:26:00,496760523694278_615595271810802,83
187,,,1.0,2013-11-23 23:25:40,496760523694278_615595201810809,39
188,,2.0,1.0,2013-11-23 23:25:31,496760523694278_615595181810811,17
189,1.0,1.0,,2013-11-23 23:25:17,496760523694278_615595111810818,26
190,16.0,,1.0,2013-11-23 23:24:48,496760523694278_615594971810832,128
191,,,,2013-11-23 23:24:37,496760523694278_615594915144171,35
192,2.0,2.0,3.0,2013-11-23 23:24:22,496760523694278_615594865144176,25
193,,3.0,1.0,2013-11-23 23:24:17,496760523694278_615594845144178,35
194,5.0,2.0,,2013-11-23 23:24:11,496760523694278_615594801810849,100
195,2.0,4.0,1.0,2013-11-23 23:24:05,496760523694278_615594771810852,45
196,5.0,2.0,,2013-11-23 19:51:24,496760523694278_615544785149184,54
197,5.0,2.0,,2013-11-23 19:51:11,496760523694278_615544745149188,57
198,1.0,1.0,,2013-11-23 19:51:03,496760523694278_615544728482523,25
199,2.0,,1.0,2013-11-23 19:48:42,496760523694278_615544385149224,12
200,1.0,,5.0,2013-11-23 19:48:31,496760523694278_615544365149226,74
201,,,,2013-11-23 19:47:56,496760523694278_615544275149235,15
202,2.0,4.0,,2013-11-23 19:47:48,496760523694278_615544248482571,95
203,,,,2013-11-23 19:47:00,496760523694278_615544101815919,10
204,2.0,,,2013-11-23 19:46:32,496760523694278_615544008482595,16
205,2.0,3.0,,2013-11-23 19:46:06,496760523694278_615543938482602,60
206,1.0,16.0,,2013-11-23 19:45:52,496760523694278_615543821815947,79
207,1.0,,,2013-11-23 19:44:25,496760523694278_615543501815979,24
208,7.0,16.0,1.0,2013-11-23 19:44:00,496760523694278_615543431815986,361
209,2.0,1.0,1.0,2013-11-23 19:43:17,496760523694278_615543268482669,42
210,3.0,,,2013-11-23 19:43:03,496760523694278_615543225149340,22
211,1.0,4.0,1.0,2013-11-23 19:42:53,496760523694278_615543208482675,56
212,1.0,,,2013-11-23 02:33:21,496760523694278_615240655179597,30
213,2.0,2.0,,2013-11-23 02:33:03,496760523694278_615240598512936,38
214,3.0,,,2013-11-23 02:32:43,496760523694278_615240525179610,19
215,4.0,3.0,6.0,2013-11-23 02:32:07,496760523694278_615240391846290,82
216,1.0,1.0,,2013-11-23 02:31:55,496760523694278_615240361846293,26
217,10.0,1.0,,2013-11-23 02:31:40,496760523694278_615240325179630,86
218,1.0,1.0,1.0,2013-11-23 02:31:28,496760523694278_615240275179635,43
219,,,,2013-11-23 02:31:22,496760523694278_615240268512969,24
220,4.0,,,2013-11-23 02:31:10,496760523694278_615240241846305,50
221,2.0,1.0,,2013-11-23 02:30:54,496760523694278_615240195179643,29
222,1.0,1.0,,2013-11-23 02:30:39,496760523694278_615240155179647,29
223,1.0,4.0,6.0,2013-11-23 02:30:28,496760523694278_615240138512982,106
224,2.0,7.0,,2013-11-23 02:29:58,496760523694278_615240091846320,135
225,,1.0,1.0,2013-11-23 02:29:50,496760523694278_615240078512988,13
226,4.0,2.0,1.0,2013-11-23 02:29:29,496760523694278_615240011846328,95
227,7.0,5.0,2.0,2013-11-23 02:29:19,496760523694278_615239975179665,155
228,,,,2013-11-23 02:29:11,496760523694278_615239921846337,18
229,7.0,3.0,2.0,2013-11-23 02:29:03,496760523694278_615239875179675,152
230,3.0,,,2013-11-22 21:30:27,496760523694278_615166531853676,24
231,,,,2013-11-22 18:47:14,496760523694278_615125368524459,6
232,3.0,,,2013-11-22 18:30:58,496760523694278_615121668524829,34
233,9.0,3.0,3.0,2013-11-22 18:30:38,496760523694278_615121615191501,182
234,,5.0,1.0,2013-11-22 18:30:23,496760523694278_615121571858172,67
235,,1.0,1.0,2013-11-22 18:30:00,496760523694278_615121488524847,25
236,1.0,1.0,,2013-11-22 18:29:36,496760523694278_615121401858189,25
237,3.0,,6.0,2013-11-22 18:29:23,496760523694278_615121368524859,76
238,7.0,17.0,1.0,2013-11-22 18:28:27,496760523694278_615121155191547,295
239,,2.0,,2013-11-22 18:27:49,496760523694278_615120991858230,9
240,,2.0,1.0,2013-11-22 18:27:23,496760523694278_615120901858239,50
241,,3.0,2.0,2013-11-22 18:27:10,496760523694278_615120851858244,43
242,2.0,,1.0,2013-11-22 18:26:34,496760523694278_615120711858258,54
243,,,4.0,2013-11-22 18:26:10,496760523694278_615120588524937,61
244,1.0,,4.0,2013-11-22 18:24:33,496760523694278_615120211858308,48
245,1.0,2.0,2.0,2013-11-22 18:24:26,496760523694278_615120175191645,21
246,,1.0,,2013-11-22 18:24:19,496760523694278_615120138524982,15
247,11.0,7.0,,2013-11-22 18:23:32,496760523694278_615119771858352,286
248,6.0,5.0,25.0,2013-11-22 18:23:17,496760523694278_615119711858358,265
249,1.0,2.0,,2013-11-22 18:22:38,496760523694278_615119585191704,27
250,4.0,,2.0,2013-11-22 18:20:37,496760523694278_615119135191749,54
251,3.0,3.0,4.0,2013-11-21 21:57:37,496760523694278_614784901891839,74
252,,1.0,,2013-11-21 21:57:25,496760523694278_614784835225179,46
253,7.0,10.0,12.0,2013-11-21 21:56:42,496760523694278_614784661891863,271
254,,,3.0,2013-11-21 21:56:32,496760523694278_614784611891868,24
255,3.0,2.0,4.0,2013-11-21 21:56:25,496760523694278_614784505225212,66
256,,1.0,,2013-11-21 21:55:58,496760523694278_614784365225226,15
257,4.0,,1.0,2013-11-21 21:55:39,496760523694278_614784265225236,31
258,6.0,4.0,,2013-11-21 21:54:30,496760523694278_614784028558593,88
259,,3.0,,2013-11-21 21:53:21,496760523694278_614783738558622,25
260,1.0,2.0,,2013-11-21 21:53:14,496760523694278_614783691891960,18
261,,,,2013-11-21 21:52:59,496760523694278_614783631891966,18
262,,2.0,,2013-11-21 21:52:52,496760523694278_614783595225303,21
263,5.0,1.0,,2013-11-21 21:52:03,496760523694278_614783405225322,50
264,2.0,3.0,2.0,2013-11-21 21:50:47,496760523694278_614782911892038,87
265,5.0,2.0,2.0,2013-11-21 21:50:40,496760523694278_614782845225378,171
266,11.0,,1.0,2013-11-21 21:49:42,496760523694278_614782491892080,105
267,4.0,3.0,6.0,2013-11-21 21:49:27,496760523694278_614782325225430,106
268,2.0,1.0,,2013-11-21 16:12:26,496760523694278_614693391900990,22
269,1.0,,,2013-11-21 16:12:18,496760523694278_614693345234328,30
270,18.0,9.0,4.0,2013-11-21 16:12:02,496760523694278_614693285234334,497
271,5.0,,,2013-11-21 16:11:43,496760523694278_614693231901006,89
272,,,,2013-11-21 16:11:31,496760523694278_614693158567680,14
273,,,1.0,2013-11-21 16:10:49,496760523694278_614693035234359,18
274,4.0,5.0,2.0,2013-11-21 16:10:38,496760523694278_614692951901034,122
275,6.0,1.0,,2013-11-21 16:09:57,496760523694278_614692798567716,74
276,4.0,,1.0,2013-11-21 16:09:22,496760523694278_614692691901060,54
277,8.0,,,2013-11-21 16:09:14,496760523694278_614692605234402,115
278,2.0,,,2013-11-21 16:09:05,496760523694278_614692551901074,43
279,3.0,3.0,7.0,2013-11-21 16:08:40,496760523694278_614692421901087,101
280,2.0,,1.0,2013-11-21 16:07:53,496760523694278_614692178567778,73
281,5.0,2.0,,2013-11-21 16:07:41,496760523694278_614692095234453,140
282,10.0,2.0,2.0,2013-11-21 16:07:19,496760523694278_614691981901131,105
283,,,,2013-11-21 16:06:53,496760523694278_614691828567813,13
284,,2.0,1.0,2013-11-21 02:05:29,496760523694278_614402818596714,39
285,2.0,,2.0,2013-11-21 02:04:58,496760523694278_614402535263409,41
286,,1.0,,2013-11-21 02:04:29,496760523694278_614402245263438,23
287,,1.0,,2013-11-21 02:04:18,496760523694278_614402191930110,30
288,1.0,1.0,,2013-11-21 02:04:06,496760523694278_614402131930116,35
289,1.0,1.0,,2013-11-21 02:03:51,496760523694278_614401998596796,29
290,7.0,3.0,,2013-11-21 02:03:33,496760523694278_614401758596820,101
291,,2.0,,2013-11-21 02:03:18,496760523694278_614401541930175,27
292,1.0,,3.0,2013-11-21 02:03:06,496760523694278_614401378596858,30
293,2.0,14.0,,2013-11-21 02:02:27,496760523694278_614400958596900,200
294,4.0,2.0,,2013-11-21 02:02:15,496760523694278_614400835263579,58
295,,,,2013-11-21 02:02:10,496760523694278_614400815263581,33
296,5.0,1.0,1.0,2013-11-21 02:01:41,496760523694278_614400605263602,84
297,2.0,1.0,2.0,2013-11-21 02:00:44,496760523694278_614400021930327,30
298,1.0,,,2013-11-21 02:00:21,496760523694278_614399741930355,33
299,3.0,2.0,3.0,2013-11-21 01:59:40,496760523694278_614399615263701,118
300,2.0,2.0,1.0,2013-11-21 01:59:34,496760523694278_614399558597040,78
301,1.0,2.0,,2013-11-20 22:02:40,496760523694278_614328405270822,13
302,,,,2013-11-20 22:02:32,496760523694278_614328365270826,32
303,1.0,1.0,4.0,2013-11-20 22:01:36,496760523694278_614327951937534,43
304,5.0,,,2013-11-20 22:01:25,496760523694278_614327888604207,45
305,2.0,,,2013-11-20 22:00:56,496760523694278_614327745270888,31
306,16.0,8.0,7.0,2013-11-20 21:59:37,496760523694278_614326555271007,252
307,3.0,1.0,2.0,2013-11-20 21:59:01,496760523694278_614326458604350,49
308,2.0,1.0,1.0,2013-11-20 21:58:49,496760523694278_614326415271021,90
309,,3.0,1.0,2013-11-20 21:58:27,496760523694278_614326315271031,31
310,,,1.0,2013-11-20 21:58:15,496760523694278_614326218604374,33
311,5.0,3.0,5.0,2013-11-20 21:57:57,496760523694278_614326111937718,186
312,2.0,,2.0,2013-11-20 21:57:45,496760523694278_614326068604389,47
313,10.0,6.0,4.0,2013-11-20 21:57:33,496760523694278_614325885271074,178
314,10.0,3.0,,2013-11-20 21:57:08,496760523694278_614325331937796,198
315,2.0,,,2013-11-20 21:56:41,496760523694278_614324745271188,25
316,,,,2013-11-20 21:56:30,496760523694278_614324455271217,18
317,1.0,,,2013-11-20 18:37:05,496760523694278_614268485276814,13
318,,,,2013-11-20 17:34:42,496760523694278_614228101947519,10
319,,1.0,,2013-11-20 17:34:06,496760523694278_614227948614201,37
320,21.0,18.0,7.0,2013-11-20 17:33:52,496760523694278_614227898614206,566
321,,2.0,1.0,2013-11-20 17:31:51,496760523694278_614227381947591,45
322,7.0,2.0,2.0,2013-11-20 17:30:39,496760523694278_614226578614338,124
323,,,,2013-11-20 17:29:57,496760523694278_614226388614357,5
324,2.0,6.0,,2013-11-20 17:29:36,496760523694278_614226308614365,113
325,2.0,,1.0,2013-11-20 17:29:15,496760523694278_614226128614383,25
326,4.0,2.0,,2013-11-20 17:29:06,496760523694278_614226061947723,77
327,,1.0,2.0,2013-11-20 17:28:50,496760523694278_614225971947732,20
328,2.0,1.0,,2013-11-20 17:27:53,496760523694278_614225581947771,44
329,9.0,10.0,2.0,2013-11-20 17:27:20,496760523694278_614225171947812,349
330,,1.0,,2013-11-20 17:27:05,496760523694278_614225105281152,30
331,5.0,9.0,,2013-11-20 17:26:54,496760523694278_614225078614488,124
332,1.0,,,2013-11-20 17:25:53,496760523694278_614224828614513,21
333,,,1.0,2013-11-20 16:20:08,496760523694278_614204818616514,11
334,1.0,,,2013-11-20 16:19:54,496760523694278_614204775283185,32
335,18.0,5.0,3.0,2013-11-20 16:18:58,496760523694278_614204048616591,414
336,6.0,9.0,3.0,2013-11-20 16:17:59,496760523694278_614203758616620,190
337,1.0,3.0,2.0,2013-11-20 16:17:06,496760523694278_614203585283304,46
338,6.0,2.0,1.0,2013-11-20 16:16:19,496760523694278_614203378616658,164
339,4.0,3.0,,2013-11-20 16:15:29,496760523694278_614203165283346,70
340,,1.0,,2013-11-20 16:15:12,496760523694278_614203115283351,6
341,1.0,2.0,,2013-11-20 16:14:54,496760523694278_614203078616688,120
342,2.0,,2.0,2013-11-20 16:14:23,496760523694278_614202955283367,48
343,5.0,1.0,,2013-11-20 16:14:01,496760523694278_614202901950039,93
344,,,,2013-11-20 16:13:28,496760523694278_614202741950055,20
345,1.0,1.0,1.0,2013-11-20 16:13:15,496760523694278_614202691950060,41
346,3.0,7.0,1.0,2013-11-20 16:13:04,496760523694278_614202641950065,72
347,4.0,1.0,2.0,2013-11-20 16:11:57,496760523694278_614202351950094,61
348,1.0,,,2013-11-20 16:11:50,496760523694278_614202315283431,14
349,,,,2013-11-20 13:51:29,496760523694278_614156255288037,9
350,1.0,7.0,1.0,2013-11-19 23:14:15,496760523694278_613938911976438,170
351,1.0,1.0,,2013-11-19 23:13:58,496760523694278_613938788643117,25
352,4.0,1.0,3.0,2013-11-19 23:13:48,496760523694278_613938775309785,56
353,1.0,1.0,,2013-11-19 23:13:19,496760523694278_613938631976466,28
354,1.0,1.0,2.0,2013-11-19 23:13:08,496760523694278_613938611976468,49
355,6.0,4.0,1.0,2013-11-19 23:12:52,496760523694278_613938578643138,83
356,1.0,8.0,7.0,2013-11-19 23:12:35,496760523694278_613938518643144,105
357,2.0,5.0,,2013-11-19 23:12:24,496760523694278_613938488643147,68
358,6.0,1.0,,2013-11-19 23:12:16,496760523694278_613938468643149,46
359,3.0,1.0,,2013-11-19 23:12:03,496760523694278_613938425309820,64
360,3.0,6.0,1.0,2013-11-19 23:11:30,496760523694278_613938315309831,65
361,2.0,3.0,,2013-11-19 23:10:57,496760523694278_613938235309839,49
362,1.0,2.0,,2013-11-19 23:10:42,496760523694278_613938185309844,45
363,10.0,14.0,3.0,2013-11-19 23:10:17,496760523694278_613938118643184,205
364,4.0,1.0,6.0,2013-11-19 23:09:34,496760523694278_613937995309863,134
365,6.0,1.0,3.0,2013-11-19 23:09:16,496760523694278_613937941976535,70
366,,,1.0,2013-11-19 18:14:59,496760523694278_613848461985483,18
367,,2.0,,2013-11-19 18:14:53,496760523694278_613848451985484,39
